scientificName
Euconnus wunderlichi Franz 1983
Neuraphes
Homoconnus conservatus Franz 1983
Rebuffoichnus sciuttoi
Monesichnus ameghinoi
Coprinsiphaera isp.
Leehermania prorova
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus nigrita (Mannerheim, 1846)"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Elaphrus finitimus Casey, 1920"
"Copris pristinus Pierce, 1946"
"Copris pristinus Pierce, 1946"
"Canthon (Boreocanthon) simplex LeConte, 1857"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
Onthophagus sp.
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Donacia (Donacia) cordovae Pierce, 1950"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus nigrita (Mannerheim, 1846)"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Serica kanakoffi Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
Deltochilum sp.
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
Canthon sp.
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
Copris sp.
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
