scientificName
Potentilla recta L.
Malus fusca (Raf.) C.K.Schneid.
Potentilla multifida L.
Dryas hookeriana Juz.
Photinia arbutifolia Lindl.
Photinia benthamiana Hance
Rubus deliciosus Torr.
Rosa eglanteria L.
Potentilla anserina Jeps.
Spiraea stevenii (C.K.Schneid.) Rydb.
Dryas integrifolia Vahl
Fragaria virginiana Mill.
Rosa arkansana Port. & Coult.
Luetkea pectinata (Pursh) Kuntze
Waldsteinia fragarioides (Michx.) Tratt.
Rubus pubescens Raf.
Chamaemeles coriacea Lindl.
Potentilla hippiana Lehm.
Pyrus aucuparia (L.) Ehrh.
Spiraea media F.Schmidt
Potentilla plattensis Nutt.
Coleogyne ramosissima Torr.
Spiraea douglasii Hook.
Acaena ovalifolia Ruiz & Pav.
Geum chilense Balb. ex Lindl.
Hartoghia capensis
Dryas drummondii Richardson ex Hook.
Rosa minutifolia Engelm.
Potentilla ledebouriana A.E.Porsild
Acaena integerrima Gillies ex Hook.
Potentilla glandulosa Lindl.
Potentilla norvegica L.
Acaena macrostemon Hook.fil.
Fragaria chiloensis (L.) Mill.
Prunus ilicifolia (Nutt. ex Hook. & Arn.) D.Dietr.
Geum triflorum Pursh
Potentilla nivea L.
Acaena pinnatifida Ruiz & Pav.
Peraphyllum ramosissimum Nutt. ex Torr. & A.Gray
Rubus arcticus L.
Geum canadense Jacq.
Purshia tridentata (Pursh) DC.
Rosa banksiae R.Br. ex Aiton
Potentilla ranunculoides Humb. & Bonpl. ex Nestl.
Amelanchier alnifolia (Nutt.) Nutt. ex M.Roem.
Prunus guatemalensis I.M.Johnst.
Rubus chamaemorus L.
Acaena microphylla Hook.fil.
Pyrus malus L.
Potentilla hookeriana Lehm.
Lachemilla moritziana Dammer
Rosa acicularis Lindl.
Osteomeles anthyllidifolia (Sm.) Lindl.
Exochorda grandiflora (Hook.) Lindl.
Geum rivale L.
Chamaebatiaria millefolium (Torr.) Maxim.
Rosa bella Rehder & E.H.Wilson
Photinia mexicana (Baill.) Hemsl.
Prunus domestica L.
Potentilla griffithii Hook.fil.
Rubus geoides Sm.
Potentilla crantzii (Crantz) Beck
Stephanandra tanakae Franch. & Sav.
"Rubus nebuloides Jordan, 1997"
"Prunus careyhurstia Brown, 1962"
"Prunus perita Brown, 1962"
Prunites maclearnii (E.W.Berry) McIver & Basinger
Amelanchites similis (Newb.) McIver & Basinger
"Vauquelinia exigua MacGinitie, 1941"
Tetraglochin alata (Gillies ex Hook. & Arn.) Kuntze
Sanguisorba occidentalis Nutt.
Sanguisorba microcephala C.Presl
Spiraea densiflora Nutt. ex Torr. & A.Gray
Sorbus randaiensis (Hayata) Koidz.
Spiraea morrisonicola Hayata
Spiraea micrantha Hook.fil.
Rubus ursinus Cham. & Schltdl.
Rosa pisocarpa A.Gray
Rosa nutkana C.Presl
Rosa spithamea S.Watson
Rosa ×damascena Mill.
Rosa ×centifolia L.
Rosa roxburghii Tratt.
Rosa ×bifera (Poir.) Pers.
Rosa californica Cham. & Schltdl.
Rubus trilobus Ser.
Rosa gymnocarpa Nutt.
Rosa nitidula Besser
Rosa obtusifolia Desv.
Rosa pouzinii Tratt.
